,journey,phase,balance
0,0,1,650000.0
1,0,2,650000.0
2,0,3,650000.0
3,1,1,582962.0
4,1,2,583053.9706560452
5,1,3,582962.0000001026
6,2,1,522628.00000010245
7,2,2,522801.8908501131
8,2,3,522628.0000000659
9,3,1,468327.00000006583
10,3,2,468576.3190475898
11,3,3,468327.00000004517
12,4,1,419457.00000004517
13,4,2,419775.2965941435
14,4,3,419457.0000000588
15,5,1,375474.0000000588
16,5,2,375861.2542687674
17,5,3,375474.00000006426
18,6,1,335889.00000006426
19,6,2,336338.53679036675
20,6,3,335889.0000000683
21,7,1,300263.0000000682
22,7,2,300767.8659009336
23,7,3,300263.0000000771
24,8,1,268199.0000000772
25,8,2,268766.1075496294
26,8,3,268199.0000000849
27,9,1,239342.00000008492
28,9,2,239960.0910330633
29,9,3,239342.00000008947
30,10,1,213370.00000008947
31,10,2,214001.00550837145
32,10,3,213370.00000009258
33,11,1,189996.00000009258
34,11,2,190688.27450030556
35,11,3,189996.00000009782
36,12,1,168959.00000009785
37,12,2,169665.09243345202
38,12,3,168959.00000009782
39,13,1,150026.00000009782
40,13,2,150755.3517151193
41,13,3,150026.0000000987
42,14,1,132986.0000000987
43,14,2,133756.14233873985
44,14,3,132986.00000009884
45,15,1,117650.00000009884
46,15,2,118440.93798430385
47,15,3,117650.00000009885
48,16,1,103848.00000009887
49,16,2,104657.00525100525
50,16,3,103848.00000010047
51,17,1,91426.00000010047
52,17,2,92239.64968912074
53,17,3,91426.00000009981
54,18,1,80246.00000009981
55,18,2,81096.18037119434
56,18,3,80246.00000009891
57,19,1,70184.00000009891
58,19,2,71014.8129677333
59,19,3,70184.00000009971
60,20,1,61129.00000009971
61,20,2,61996.47856576403
62,20,3,61129.00000009971
63,21,1,52979.00000009971
64,21,2,53837.891124052585
65,21,3,52979.00000010005
66,22,1,45644.00000010005
67,22,2,46507.337481381015
68,22,3,45644.00000009942
69,23,1,39043.00000009942
70,23,2,39841.199029681426
71,23,3,39043.000000099215
72,24,1,33102.000000099215
73,24,2,33960.29223416668
74,24,3,33102.0000000997
75,25,1,27755.0000000997
76,25,2,28647.18789008174
77,25,3,27755.000000099946
78,26,1,22943.000000099943
79,26,2,23851.70143313171
80,26,3,22943.00000009978
81,27,1,18612.00000009978
82,27,2,19523.43395103757
83,27,3,18612.00000009978
84,28,1,14714.000000099779
85,28,2,15575.783383300268
86,28,3,14714.000000099733
87,29,1,11206.000000099733
88,29,2,12102.008141207942
89,29,3,11206.000000099762
90,30,1,8049.000000099763
91,30,2,8932.504045351783
92,30,3,8049.000000099752
93,31,1,5208.0000000997525
94,31,2,6030.334578443495
95,31,3,5208.000000099753
96,32,1,2651.000000099753
97,32,2,3433.2390694104392
98,32,3,2651.000000099741
99,33,1,350.0000000997411
100,33,2,1213.5874924668703
101,33,3,350.00000009974553
102,34,1,350.00000009974553
103,34,2,350.00000009974553
104,34,3,350.00000009974553
105,35,1,350.00000009974553
106,35,2,350.00000009974553
107,35,3,350.00000009974553
108,36,1,350.00000009974553
109,36,2,350.00000009974553
110,36,3,350.00000009974553
111,37,1,350.00000009974553
112,37,2,350.00000009974553
113,37,3,350.00000009974553
114,38,1,350.00000009974553
115,38,2,350.00000009974553
116,38,3,350.00000009974553
117,39,1,350.00000009974553
118,39,2,350.00000009974553
119,39,3,350.00000009974553
120,40,1,350.00000009974553
121,40,2,350.00000009974553
122,40,3,350.00000009974553
123,41,1,350.00000009974553
124,41,2,350.00000009974553
125,41,3,350.00000009974553
126,42,1,350.00000009974553
127,42,2,350.00000009974553
128,42,3,350.00000009974553
129,43,1,350.00000009974553
130,43,2,350.00000009974553
131,43,3,350.00000009974553
132,44,1,350.00000009974553
133,44,2,350.00000009974553
134,44,3,350.00000009974553
135,45,1,350.00000009974553
136,45,2,350.00000009974553
137,45,3,350.00000009974553
138,46,1,350.00000009974553
139,46,2,350.00000009974553
140,46,3,350.00000009974553
141,47,1,350.00000009974553
142,47,2,350.00000009974553
143,47,3,350.00000009974553
144,48,1,350.00000009974553
145,48,2,350.00000009974553
146,48,3,350.00000009974553
147,49,1,350.00000009974553
148,49,2,350.00000009974553
149,49,3,350.00000009974553
150,50,1,350.00000009974553
151,50,2,350.00000009974553
152,50,3,350.00000009974553
